GR,WDS,YEAR,TYPE
3.76,105600,1957,Hardback
3.77,73404,1951,PaperBack
3.77,82532,1929,Electronic
3.77,107953,1979,Electronic
3.78,31879,1927,Electronic
3.78,83700,1929,Electronic
3.78,96118,1903,Hardback
3.78,177300,1904,Hardback
3.79,127062,1959,Hardback
3.79,100800,1904,Hardback
3.79,169500,1908,Hardback
3.8,62400,1939,Hardback
3.8,198901,1961,PaperBack
3.8,119100,1947,Hardback
3.8,296400,1934,Hardback
3.8,191898,1902,Hardback
3.81,34800,1934,Hardback
3.81,29060,1945,Hardback
3.81,177070,1952,Hardback
3.82,67707,1926,PaperBack
3.83,104375,1934,Hardback
3.83,72000,1919,Hardback
3.83,129600,1928,Hardback
3.84,66721,1927,Hardback
3.84,247696,1953,Hardback
3.85,83400,1970,Hardback
3.85,67606,1983,PaperBack
3.85,47094,1925,Hardback
3.85,100800,1975,Hardback
3.87,66600,1938,Hardback
3.89,75300,1934,Hardback
3.91,92400,1934,PaperBack
3.91,72000,1908,PaperBack
3.91,353014,1925,Hardback
3.92,102600,1949,PaperBack
3.92,151118,1932,PaperBack
3.92,147797,1940,PaperBack
3.92,216300,1948,PaperBack
3.92,101164,1920,PaperBack
3.93,130089,1905,PaperBack
3.93,250800,1924,Hardback
3.94,66373,1929,Hardback
3.94,63766,1932,Hardback
3.94,76800,1910,Hardback
3.95,119450,1940,Hardback
3.96,57600,1962,Hardback
3.96,80384,1953,Hardback
3.96,876000,1951,Hardback
3.97,174269,1961,Hardback
3.98,81600,1948,Hardback
3.98,105300,1945,Hardback
3.99,208773,1981,Hardback
4.02,49459,1969,Hardback
4.04,64800,1940,Hardback
4.04,196800,1965,Hardback
4.06,214872,1946,Hardback
4.07,244800,1951,Hardback
4.08,169481,1939,Hardback
4.08,393600,1933,Hardback
4.09,259865,1915,Hardback
4.1,8842,1949,Hardback
4.17,265200,1959,Hardback
4.18,168600,1979,Hardback
4.19,74400,1962,Hardback
4.27,205090,1971,Hardback
4.27,140400,1934,Hardback