GR,WDS,YEAR
3.76,105600,1957
3.77,73404,1951
3.77,82532,1929
3.77,107953,1979
3.78,31879,1927
3.78,83700,1929
3.78,96118,1903
3.78,177300,1904
3.79,127062,1959
3.79,100800,1904
3.79,169500,1908
3.8,62400,1939
3.8,198901,1961
3.8,119100,1947
3.8,296400,1934
3.8,191898,1902
3.81,34800,1934
3.81,29060,1945
3.81,177070,1952
3.82,67707,1926
3.83,104375,1934
3.83,72000,1919
3.83,129600,1928
3.84,66721,1927
3.84,247696,1953
3.85,83400,1970
3.85,67606,1983
3.85,47094,1925
3.85,100800,1975
3.87,66600,1938
3.89,75300,1934
3.91,92400,1934
3.91,72000,1908
3.91,353014,1925
3.92,102600,1949
3.92,151118,1932
3.92,147797,1940
3.92,216300,1948
3.92,101164,1920
3.93,130089,1905
3.93,250800,1924
3.94,66373,1929
3.94,63766,1932
3.94,76800,1910
3.95,119450,1940
3.96,57600,1962
3.96,80384,1953
3.96,876000,1951
3.97,174269,1961
3.98,81600,1948
3.98,105300,1945
3.99,208773,1981
4.02,49459,1969
4.04,64800,1940
4.04,196800,1965
4.06,214872,1946
4.07,244800,1951
4.08,169481,1939
4.08,393600,1933
4.09,259865,1915
4.1,8842,1949
4.17,265200,1959
4.18,168600,1979
4.19,74400,1962
4.27,205090,1971
4.27,140400,1934